cmc,power,toughness,race,ability,color
4,2,3,Griffin,Flying,White
3,2,2,Human,none,White
6,3,3,Human,none,White
5,3,3,Elemental,Flying,White
2,0,2,Kor,none,White
2,1,1,Bird,Flying,Blue
3,1,3,Jellyfish,none,Blue
5,3,4,Human,none,Blue
3,4,4,Angel,Flying,Blue
3,1,1,Human,none,Blue
4,2,2,Human,none,Blue
5,2,3,Drake,Flying,Blue
4,*,*,Elemental,none,Blue
4,0,0,Human,none,Blue
3,1,2,Human,none,Blue
3,0,7,Wall,none,Blue
3,2,2,Merfolk,none,Blue
3,1,1,Imp,Flying,Black
6,3,3,Horror,Flying,Black
6,5,4,Rat,none,Black
3,2,1,Specter,Flying,Black
5,3,2,Rat,none,Black
2,2,1,Rat,none,Black
5,2,2,Rat,none,Black
1,1,1,Spirit,none,Black
4,2,2,Goblin,none,Red
3,3,1,Lizard,none,Red
3,1,1,Goblin,none,Red
6,4,4,Dragon,Flying,Red
4,2,2,Viashino,none,Red
3,1,1,Viashino,none,Red
3,2,2,Beast,none,Green
5,4,4,Elemental,none,Green
2,1,1,Boar,none,Green
6,3,3,Cleric,none,Green
5,3,4,Centaur,none,Green
2,2,2,Human,none,Green
3,2,2,Ooze,Flash,Green
4,1,1,Treefolk,Hexproof,Green
5,4,4,Ooze,none,Green
5,4,4,Fungus,none,Green
2,2,2,Eldrazi,none,Green
3,2,3,Insect,none,Green
4,2,4,Giant,none,Green
4,2,4,Spider,Reach,Green
2,1,1,Elf,Hexproof,Green
1,1,1,Fungus,none,Green
2,2,1,Elf,none,Green
2,0,4,Plant,none,Green
1,1,1,Human,none,Blue
2,1,3,Illusion,none,Blue
2,1,1,Human,none,Blue
2,0,5,Wall,none,Blue
2,1,2,Human,none,Blue
3,2,2,Jellyfish,none,Blue
3,1,3,Snake,none,Blue
4,2,2,Beast,Flying,Blue
4,4,4,Djinn,Flying,Blue
5,2,2,Elemental,Flying,Blue
5,4,4,Elemental,Flying,Blue
6,6,6,Elemental,none,Blue
5,2,2,Illusion,Flying,Blue
6,4,4,Elemental,none,Blue
6,5,4,Elemental,none,Blue
6,5,5,Dragon,Flying,Blue
7,4,4,Illusion,Flying,Blue
1,0,2,Elemental,none,Red
2,1,1,Human,none,Red
2,2,1,Elemental,none,Red
2,1,1,Elemental,Haste,Red
2,1,1,Slith,Haste,Red
3,2,2,Goblin,none,Red
3,2,2,Elemental,none,Red
4,4,2,Kavu,none,Red
4,2,2,Dragon,Flying,Red
4,3,3,Dragon,none,Red
5,3,3,Elemental,none,Red
6,4,4,Cat,none,Red
6,6,6,Elemental,Haste,Red
7,*,*,Avatar,none,White
2,2,2,Merfolk,none,Blue
1,1,1,Elf,none,Green
6,4,4,Dragon,Flying,Red
2,1,1,Slith,Haste,Red
3,1,1,Human,none,Black
2,1,1,Snake,none,Green
5,2,2,Phoenix,Flying,Red
2,2,1,Soltari,none,White
2,1,1,Human,none,Green
3,2,2,Elf,none,Green
3,2,2,Goblin,none,Black
2,1,1,Slith,Haste,Red
3,1,1,Human,none,Black
2,1,1,Snake,none,Green
5,2,2,Phoenix,Flying,Red
2,2,1,Soltari,none,White
2,1,1,Human,none,Green
3,2,2,Elf,none,Green
2,1,1,Snake,none,Green
5,2,2,Phoenix,Flying,Red
2,2,1,Soltari,none,White
2,1,1,Human,none,Green
3,2,2,Elf,none,Green
2,2,1,Snake,none,Green
2,2,2,Human,First strike,White
5,3,4,Human,none,White
3,1,1,Human,none,Blue
1,1,1,Elf,none,Green
